YEAR.WEEK,SUMMER,MONTH,DAYS,UNEMPLOYMENT,UTILITY.GAS,North CRIMES,West CRIMES,Central CRIMES
2016.14,No,Apr,7,46584,0.997,1550,514,463
2016.15,No,Apr,7,46584,0.997,1726,601,501
2016.16,No,Apr,7,46584,0.997,1629,602,573
2016.17,No,Apr,7,46584,0.997,1660,596,543
2016.18,No,May,7,49989,0.991,1669,624,559
2016.19,No,May,7,49989,0.991,1639,600,584
2016.2,No,May,7,49989,0.991,1690,607,523
2016.21,No,May,7,49989,0.991,1757,660,572
2016.22,No,May,7,49989,0.991,1620,616,600
2016.23,No,Jun,7,49192,0.992,1604,579,606
2016.24,No,Jun,7,49192,0.992,1625,583,564
2016.25,Yes,Jun,7,49192,0.992,1616,708,622
2016.26,Yes,Jun,7,49192,0.992,1692,635,579
2016.27,Yes,Jul,7,55291,0.993,1439,646,533
2016.28,Yes,Jul,7,55291,0.993,1644,622,502
2016.29,Yes,Jul,7,55291,0.993,1516,493,544
2016.3,Yes,Jul,7,55291,0.993,1437,523,441
2016.31,Yes,Aug,7,54853,0.993,1592,609,534
2016.32,Yes,Aug,7,54853,0.993,1596,627,537
2016.33,Yes,Aug,3,54853,0.993,703,276,233
